민원ID,접수일,접수채널,행정동,주소,위도,경도,반복지점,반복여부,민원내용,처리상태,처리일,처리기간,담당부서,신고자연락처,신고자생년
M0005,260820,국민신문고,가온동,한빛구 가온동 551-56,37.55329,127.048963,가온시장 뒷골목,Y,이사 가면서 버리고 간 것 같습니다. 침대 프레임이랑 서랍장입니다. 일주일 넘었습니다.,완료,260901,12,주민생활지원과,010-3849-6726,19590124-1******
M0126,2026-06-16,앱,바다동,바다동 바다공원 북측 출입로,,,바다공원 북측 출입로,Y,종량제 봉투가 아닌데 버려져 있어서 수거가 안 되는 것 같습니다. 이대로 두면 계속 쌓일 텐데요.,완료,2026-06-23,7,환경관리과,010-9297-2012,19610722-2******
M0023,2026.06.21,앱,가온동,가온동 가온동 일원,37.549569,127.045244,,N,수거 차량이 다녀간 뒤에도 쓰레기가 그대로 남아 있습니다.,완료,2026.07.01,10,환경관리과,010-4393-7800,19830613-1******
M0105,2026.07.21,전화,마루동,마루동 마루경로당 앞,37.549835,127.035228,마루경로당 앞,Y,쓰레기 버린 자리에 또 버리고 또 버립니다. 이거 어떻게 좀 해주세요 진짜.,보류,,,청소행정과,010-9237-5221,19571114-2******
M0011,260515,방문,가온동,가온동 가온시장 뒷골목,37.552137,127.049399,가온시장 뒷골목,Y,수거 안 된 봉투가 사흘째 있습니다.,완료,260528,13,주민생활지원과,010-5376-5488,19970215-1******
M0108,2026/08/09,홈페이지,마루동,한빛구 마루동 299-58,37.550496,127.03514,마루경로당 앞,Y,배출함 적재 초과입니다. 증설 검토 부탁드립니다.,완료,2026-04-02,7,환경관리과,010-6416-5668,19860617-2******
M9350,2026.06.12,전화,새벽동,,37.547067,127.048833,,N,생활쓰레기가 인도 절반을 막고 있어서 유모차가 못 지나갑니다.,완료,2026.06.15,3,청소행정과,010-3509-9647,19730806-2******
M0164,2026/07/16,홈페이지,새벽동,세종특별자치시 한빛구 새벽동 2로 46,37.541774,127.049778,,N,냄새가 너무 심합니다 조치 부탁드립니다,완료,2026/07/21,5,청소행정과,010-7199-9243,20000127-1******
M0075,2026-06-28,방문,다솜동,세종특별자치시 한빛구 다솜동 17로 41,37.545957,127.060041,다솜로 3길 원룸촌,Y,공사 자재는 아니고 상가 포장재입니다. 스티로폼이 대부분입니다.,완료,2026-07-04,6,주민생활지원과,010-9579-8148,19561222-2******
M0138,2026/08/20,방문,바다동,한빛구 바다동 477-14,37.554964,127.067242,,N,분리수거장이 포화 상태입니다. 확장이 필요해 보입니다.,완료,2026/08/31,,청소행정과,010-8886-8118,19700908-1******
M0009,2026/08/05,전화,가온동,가온동 가온시장 뒷골목,37.552517,127.049184,가온시장 뒷골목,Y,오늘 수거일인데 안 가져갔습니다. 이유를 모르겠습니다.,완료,2026/08/12,7,환경관리과,010-2804-1003,19730926-2******
M0030,2026-07-16,국민신문고,가온동,세종특별자치시 한빛구 가온동 33로 65,37.551475,127.047217,가온로 12길 일대,Y,요일 안 지키고 아무 때나 버립니다. 계도가 필요합니다.,완료,2026-07-26,10,주민생활지원과,010-6053-2708,19851126-1******
M0174,2026-07-16,홈페이지,나래동,한빛구 나래동 163-48,37.558515,127.056671,나래아파트 상가,Y,여기는 상습 투기 지점입니다. 치우면 하루 이틀 만에 또 쌓입니다.,완료,2026-07-17,1,주민생활지원과,010-3992-3640,20030509-2******
M0115,2026.08.15,방문,마루동,세종특별자치시 한빛구 마루동 27로 63,37.550115,127.03487,마루경로당 앞,Y,음식물 전용 용기를 안 쓰면 수거가 안 된다고 들었는데 계속 이렇게 버립니다.,처리중,,,환경관리과,010-3820-5673,19751115-2******
