민원ID,접수일,처리일,처리상태,행정동,주소,위도,경도,민원내용,접수채널,담당부서,처리결과,신고자연락처,신고자생년,반복신고여부,비고
D1156,26.01.27,26.01.31,완료,숲길동,새올구 숲길동 숲길로 3길 17,37.559714,126.927488,음식물 섞인 봉투가 터져서 길이 엉망입니다. 빨리 좀 와주세요.,전화,환경위생과,계도 조치,010-7872-2165,810503,N,
D1070,2026-02-17,2026-02-21,완료,햇살동,새올구 햇살동 햇살로 9길 73,37.575088,126.953004,스티로폼 박스가 바람에 굴러다닙니다. 도로까지 나갔어요.,국민신문고,환경위생과,과태료 부과,010-3344-8432,930902,N,
D1020,2026-04-13,2026-04-16,완료,물결동,새올구 물결동 647-11번지,37.547924,126.961589,스티로폼이랑 박스를 같이 묶어 놔서 수거가 계속 밀립니다. 벌써 나흘째입니다.,모바일앱,환경위생과,수거 후 안내문 부착,010-1633-1834,020520,N,
D1153,2025-09-13,2025-09-19,완료,햇살동,새올구 햇살동 858-22번지,37.545776,126.94865,종량제 미사용입니다. 몇 번을 말해야 하나요 진짜.,모바일앱,환경위생과,과태료 부과,010-3717-1732,610925,N,
D1030,2025년 9월 30일,2025년 10월 2일,완료,들녘동,새올구 들녘동 573-33번지,37.553601,126.923712,종량제도 아니고 분리도 안 하고 그냥 다 섞어서 내놨네요.,모바일앱,환경위생과,수거 완료,010-9931-8843,730502,N,
D1172,25.09.25,25.10.01,완료,별빛동,별빛동 재래시장 뒤 골목,37.554351,126.913611,재활용 미분리로 신고합니다. 계도 부탁드립니다.,모바일앱,환경위생과,수거 완료,010-9261-4349,840620,Y,
D1191,2026-01-26,2026-02-01,완료,들녘동,새올구 들녘동 들녘로 6길 18,37.542419,126.923425,규격 봉투 안 쓰고 버린 건 수거 대상이 아니라고 들었습니다. 그럼 누가 치우나요.,전화,환경위생과,수거 완료,010-2696-3084,780412,N,
D1125,26.03.08,26.03.11,완료,바람동,새올구 바람동 442-26번지,37.519943,126.946661,관리사무소 정해든 과장한테 말했는데 안 옵니다 010-8814-2207,방문,환경위생과,과태료 부과,010-6809-1069,021215,N,
D1008,25.10.16,25.10.20,완료,숲길동,숲길동 아파트 후문 수거함,37.570512,126.925624,여기요,국민신문고,환경위생과,수거 후 안내문 부착,010-5107-1348,790620,Y,
D1137,2026-07-01,2026-07-04,완료,별빛동,별빛동 원룸촌 클린하우스,37.543452,126.926372,상황이 안 좋습니다,모바일앱,환경위생과,계도 조치,010-9846-4372,011212,Y,
D1089,2025-12-02,2025-12-13,완료,별빛동,새올구 별빛동 별빛로 16길 19,37.540759,126.907292,지난번에 말한 곳입니다,국민신문고,환경위생과,수거 후 안내문 부착,010-1123-1417,950301,N,
D1134,2025/09/10,2025/09/15,완료,노을동,새올구 노을동 노을로 23길 88,,,상가에서 나온 영업 쓰레기가 또 쌓였습니다. 건물주 오재만 씨 연락처가 010-2298-5170 이라고 들었습니다.,전화,환경위생과,현장 정비,010-5245-4012,831004,N,좌표 미확인
D1080,2026/03/20,2026/03/24,완료,노을동,노을동 빌라 단지 진입로,37.554458,126.899948,박스에 음료 국물이 남아 젖어 있습니다. 냄새가 납니다.,국민신문고,환경위생과,계도 조치,010-7370-9428,561228,Y,
D1057,2026-02-25,2026-03-03,완료,노을동,새올구 노을동 노을로 24길 72,37.555324,126.893565,페트병 수십 개가 한데 뭉쳐 있습니다. 압축도 안 했습니다.,전화,환경위생과,과태료 부과,010-4110-7812,000128,N,
D1014,2025-11-06,,처리중,바람동,새올구 바람동 바람로 24길 5,37.524098,126.91411,점포에서 나온 폐기물이 주민 배출장소를 다 차지했습니다. 주민들 것을 놓을 자리가 없습니다.,모바일앱,환경위생과,,010-5313-3792,710517,N,
D1096,2026-05-24,,처리중,물결동,새올구 물결동 물결로 6길 34,37.551848,126.933787,소파랑 장롱이 스티커 없이 나와 있습니다. 옆집 한수진 씨가 어제 이사 갔다고 하네요. 제 번호는 010-7742-3318 입니다.,모바일앱,자원순환과,,010-1724-9232,780507,N,
D1106,2025-09-08,2025-09-09,완료,숲길동,새올구 숲길동 숲길로 7길 21,37.566772,126.904485,새벽에 버리고 가는 걸 봤습니다. 경비 최봉규 반장님이 목격했고 010-5583-9042 로 연락하면 됩니다.,구청 홈페이지,환경위생과,수거 후 안내문 부착,010-5133-9987,000423,N,
D1149,2025-10-31,,처리중,바람동,새올구 바람동 564-24번지,37.516742,126.928229,영업장에서 나온 폐기물 배출 지도가 필요해 보입니다.,전화,환경위생과,,010-2512-4084,860127,N,
D1071,2026-04-11,2026-04-14,완료,숲길동,새올구 숲길동 숲길로 6길 55,,,서랍장 두 개가 며칠째 방치돼 있습니다,전화,자원순환과,수거 완료,010-1954-4987,000908,N,좌표 미확인
D1015,2025년 12월 29일,2026년 1월 2일,완료,숲길동,새올구 숲길동 518-22번지,37.57063,126.925202,가게 앞에 나온 쓰레기가 가정에서 나올 양이 아닙니다.,모바일앱,환경위생과,계도 조치,010-7756-8382,760803,Y,
D1173,2026-07-29,2026-08-12,완료,노을동,새올구 노을동 722-9번지,37.545751,126.910922,장롱 서랍이 흩어져 있어서 지저분합니다.,방문,자원순환과,현장 정비,010-4814-3289,970128,N,
