민원ID,접수일,부서,민원유형,행정동,접수채널,연령대,처리상태,처리일,처리일수,만족도,재민원여부,민원인연락처,민원내용요약
C00620,2026-06-28,도로교통과,가로등 고장,라온동,전화,50대,완료,2026-07-03,5,4,N,010-8692-2827,야간 점등 불량
C00117,2025/10/20,도로교통과,불법주정차,라온동,국민신문고,30대,완료,2025/10/25,5,3,Y,010-2469-3731,이면도로 상시 주차
C00710,2026-08-18,청소행정과, 쓰레기 무단투기 ,라온동,방문,50대,완료,2026-08-25,7,5,N,010-8207-7084,상습 투기 지점 방치
C00290,2026-01-05,청소행정과,쓰레기 무단투기,가온동,앱,30대,완료,2026-01-15,10,,N,010-9588-1752,상습 투기 지점 방치
C00541,2026-05-17,환경관리과,악취,가온동,방문,50대,완료,2026-06-04,18,,N,010-5326-5491,음식물 쓰레기 악취
C00445,2026-04-27,환경관리과,소음,가온동,전화,20대 이하,완료,2026-05-04,7,3,N,010-7786-3384,야간 공사 소음
C00387,2026-03-31,환경관리과,소음,가온동,국민신문고,60대 이상,완료,2026-04-08,8,,N,010-7237-4727,야간 공사 소음
C00556,2026-05-04,환경관리과,공원 관리,다솜동,방문,40대,완료,2026-05-08,4,5,N,010-7522-1335,시설물 파손
C00750,2026-08-24,환경관리과,악취,라온동,홈페이지,30대,완료,2026-09-02,9,4,N,010-6047-6375,음식물 쓰레기 악취
C00727,2026.08.10,복지정책과,복지 상담,새벽동,홈페이지,30대,완료,2026.08.14,4,5,N,010-8063-2241,지원금 신청 문의
C00502,2026/05/14,복지정책과,복지 상담,다솜동,전화,30대,완료,2026/05/21,7,4,N,010-8785-1175,지원금 신청 문의
C00667,2026-07-09,환경관리과,소음,가온동,전화,30대,완료,2026-07-22,13,,N,010-4700-2348,야간 공사 소음
C00679,2026년 07월 16일,환경관리과,소음,새벽동,국민신문고,60대 이상,완료,2026년 07월 23일,7,,N,010-4139-1025,야간 공사 소음
C00259,2026년 01월 09일,도로교통과,가로등 고장,라온동,전화,40대,완료,2026년 01월 13일,4,,Y,010-3206-8628,야간 점등 불량
C00539,2026년 05월 30일,청소행정과,쓰레기 무단투기,가온동,국민신문고,30대,완료,2026년 06월 07일,8,5,N,010-7134-3240,상습 투기 지점 방치
C00252,2026년 01월 16일,도로교통과,불법주정차,바다동,국민신문고,30대,완료,2026년 01월 23일,7,4,N,010-8910-6931,이면도로 상시 주차
C00090,2025.10.07,환경관리과,소음,바다동,방문,60대 이상,완 료,2025.10.10,3,5,N,010-9149-1011,야간 공사 소음
C00154,2025년 11월 20일,도로교통과,가로등 고장,바다동,전화,50대,완료,2025년 11월 27일,7,,N,010-9121-4731,야간 점등 불량
C00508,2026-05-31,환경관리과,악취,새벽동,전화,30대,완료,2026-06-10,10,,N,010-9354-5954,음식물 쓰레기 악취
C00183,2025-11-22,도로교통과,가로등 고장,가온동,국민신문고,30대,완료,2025-12-06,14,4,N,010-4035-5896,야간 점등 불량
