민원ID,접수일,접수채널,행정동,주소,위도,경도,반복지점,반복여부,민원내용,처리상태,처리일,처리기간,담당부서,신고자연락처,신고자생년
M0005,260820,국민신문고,가온동,한빛구 가온동 551-56,37.55329,127.048963,가온시장 뒷골목,Y,장롱과 매트리스가 버려져 있는데 대형폐기물 스티커가 없습니다,완료,260901,12,주민생활지원과,010-3849-6726,19590124-1******
M0126,2026-06-16,앱,바다동,바다동 바다공원 북측 출입로,,,바다공원 북측 출입로,Y,가정용 종량제 봉투가 아닌 일반 비닐에 담아 버려져 있습니다,완료,2026-06-23,7,환경관리과,010-9297-2012,19610722-2******
M0023,2026.06.21,앱,가온동,가온동 가온동 일원,37.549569,127.045244,,N,수거 차량이 다녀간 뒤에도 쓰레기가 그대로 남아 있습니다,완료,2026.07.01,10,환경관리과,010-4393-7800,19830613-1******
M0105,2026.07.21,전화,마루동,마루동 마루경로당 앞,37.549835,127.035228,마루경로당 앞,Y,가정용 종량제 봉투가 아닌 일반 비닐에 담아 버려져 있습니다,보류,,,청소행정과,010-9237-5221,19571114-2******
M0011,260515,방문,가온동,가온동 가온시장 뒷골목,37.552137,127.049399,가온시장 뒷골목,Y,수거 차량이 다녀간 뒤에도 쓰레기가 그대로 남아 있습니다,완료,260528,13,주민생활지원과,010-5376-5488,19970215-1******
M0108,2026/08/09,홈페이지,마루동,한빛구 마루동 299-58,37.550496,127.03514,마루경로당 앞,Y,분리수거함이 넘쳐서 주변에 페트병이 흩어져 있습니다,완료,2026-04-02,7,환경관리과,010-6416-5668,19860617-2******
M9350,2026.06.12,전화,새벽동,,37.547067,127.048833,,N,가정용 종량제 봉투가 아닌 일반 비닐에 담아 버려져 있습니다,완료,2026.06.15,3,청소행정과,010-3509-9647,19730806-2******
M0164,2026/07/16,홈페이지,새벽동,세종특별자치시 한빛구 새벽동 2로 46,37.541774,127.049778,,N,냄새가 너무 심합니다 조치 부탁드립니다,완료,2026/07/21,5,청소행정과,010-7199-9243,20000127-1******
M0075,2026-06-28,방문,다솜동,세종특별자치시 한빛구 다솜동 17로 41,37.545957,127.060041,다솜로 3길 원룸촌,Y,상가에서 나온 것으로 보이는 박스와 스티로폼이 산더미입니다,완료,2026-07-04,6,주민생활지원과,010-9579-8148,19561222-2******
M0138,2026/08/20,방문,바다동,한빛구 바다동 477-14,37.554964,127.067242,,N,분리수거함이 넘쳐서 주변에 페트병이 흩어져 있습니다,완료,2026/08/31,,청소행정과,010-8886-8118,19700908-1******
M0009,2026/08/05,전화,가온동,가온동 가온시장 뒷골목,37.552517,127.049184,가온시장 뒷골목,Y,수거 차량이 다녀간 뒤에도 쓰레기가 그대로 남아 있습니다,완료,2026/08/12,7,환경관리과,010-2804-1003,19730926-2******
M0030,2026-07-16,국민신문고,가온동,세종특별자치시 한빛구 가온동 33로 65,37.551475,127.047217,가온로 12길 일대,Y,배출 요일이 아닌데 미리 내놓아 길이 지저분합니다,완료,2026-07-26,10,주민생활지원과,010-6053-2708,19851126-1******
M0174,2026-07-16,홈페이지,나래동,한빛구 나래동 163-48,37.558515,127.056671,나래아파트 상가,Y,매번 같은 자리에 또 버립니다 단속 좀 해주세요,완료,2026-07-17,1,주민생활지원과,010-3992-3640,20030509-2******
M0115,2026.08.15,방문,마루동,세종특별자치시 한빛구 마루동 27로 63,37.550115,127.03487,마루경로당 앞,Y,음식물쓰레기를 종량제 용기 없이 그냥 버려 악취가 심합니다,처리중,,,환경관리과,010-3820-5673,19751115-2******
M0087,2026.06.25,전화,,세종특별자치시 한빛구 다솜동 25로 82,37.545088,127.059237,다솜빌라 주차장,Y,여기 좀 봐주세요,완료,2026.07.04,9,청소행정과,010-5813-8224,20020508-2******
M0195,2026.06.11,앱,라온동,,37.561275,127.042295,,N,여기 좀 봐주세요,완료,2026.06.20,9,청소행정과,010-2245-5120,19770214-2******
M0191,2026-05-24,홈페이지,라온동,,,,,N,배출 요일이 아닌데 미리 내놓아 길이 지저분합니다,완료,2026-05-25,1,주민생활지원과,010-8885-1361,19820904-2******
M0073,2026.07.14,국민신문고,다솜동,한빛구 다솜동 519-45,37.546224,127.059913,다솜로 3길 원룸촌,Y,담배꽁초와 일회용컵이 계단 아래 쌓여 있습니다,보류,,,주민생활지원과,010-6603-2338,19600727-2******
M0120,2026.08.15,국민신문고,마루동,한빛구 마루동 338-23,37.545546,127.038705,,N,공사장에서 나온 폐자재가 인도에 방치돼 있습니다,완료,2026.08.24,9,주민생활지원과,010-2240-5667,19810803-1******
M0161,2026-07-28,방문,,세종특별자치시 한빛구 새벽동 24로 79,37.544615,127.051528,새벽역 2번출구 뒤편,Y,장롱과 매트리스가 버려져 있는데 대형폐기물 스티커가 없습니다,완료,2026-08-01,4,주민생활지원과,010-9870-2864,19710826-1******
M0083,2026-05-30,앱,다솜동,세종특별자치시 한빛구 다솜동 37로 47,37.546214,127.0669,,N,가정용 종량제 봉투가 아닌 일반 비닐에 담아 버려져 있습니다,완료,2026-06-09,10,청소행정과,010-9769-5366,19630102-2******
M0150,260523,국민신문고,,한빛구 새벽동 771-9,37.544627,127.051566,새벽역 2번출구 뒤편,Y,배출 요일이 아닌데 미리 내놓아 길이 지저분합니다,완료,260531,8,주민생활지원과,010-6247-9999,19720210-2******
M0043,2026/06/18,방문,,가온동 가온로 12길 일대,37.55142,127.047853,가온로 12길 일대,Y,수거 차량이 다녀간 뒤에도 쓰레기가 그대로 남아 있습니다,완료,2026/06/28,10,환경관리과,010-3717-8765,19570826-2******
M0154,2026-08-03,방문,새벽동,세종특별자치시 한빛구 새벽동 4로 40,37.544188,127.052119,새벽역 2번출구 뒤편,Y,공사장에서 나온 폐자재가 인도에 방치돼 있습니다,완료,2026-08-13,10,환경관리과,010-5905-7519,19820616-2******
M0027,2026-07-23,홈페이지,가온동,가온동 가온로 12길 일대,37.551302,127.047075,가온로 12길 일대,Y,공사장에서 나온 폐자재가 인도에 방치돼 있습니다,완료,2026-07-29,6,청소행정과,010-7656-1898,19700722-1******
M0020,260524,홈페이지,가온동,한빛구 가온동 800-5,37.54969,127.044134,,N,매번 같은 자리에 또 버립니다 단속 좀 해주세요,완료,260604,11,주민생활지원과,010-6879-4786,19580907-1******
M0152,2026.07.16,앱,새벽동,세종특별자치시 한빛구 새벽동 1로 42,37.541011,127.055272,,N,매번 같은 자리에 또 버립니다 단속 좀 해주세요,완료,2026.07.17,1,주민생활지원과,010-6297-2950,19790914-2******
M0051,2026-07-25,국민신문고,가온동,세종특별자치시 한빛구 가온동 38로 14,37.553158,127.050124,,N,수거 차량이 다녀간 뒤에도 쓰레기가 그대로 남아 있습니다,완료,2026-07-31,6,환경관리과,010-9033-6511,19820220-1******
M0054,2026-06-22,홈페이지,다솜동,다솜동 다솜빌라 주차장,37.545759,127.059037,다솜빌라 주차장,Y,분리수거함이 넘쳐서 주변에 페트병이 흩어져 있습니다,완료,2026-06-29,7,주민생활지원과,010-7613-7557,19850818-1******
M0116,2026-05-26,전화,마루동,세종특별자치시 한빛구 마루동 5로 31,37.548992,127.035005,,N,수거 차량이 다녀간 뒤에도 쓰레기가 그대로 남아 있습니다,완료,2026-05-29,3,주민생활지원과,010-5570-8005,19830423-1******
M0158,2026-08-14,앱,새벽동,새벽동 새벽동 일원,37.543255,127.056659,,N,배출 요일이 아닌데 미리 내놓아 길이 지저분합니다,완료,2026-08-18,4,주민생활지원과,010-8104-3011,19910623-1******
M0181,260621,전화,나래동,나래동 나래아파트 상가,37.559245,127.057505,나래아파트 상가,Y,장롱과 매트리스가 버려져 있는데 대형폐기물 스티커가 없습니다,완료,260625,4,청소행정과,010-7458-2547,19850724-1******
M0039,2026-07-07,국민신문고,가온동,세종특별자치시 한빛구 가온동 6로 14,37.55167,127.047256,가온로 12길 일대,Y,담배꽁초와 일회용컵이 계단 아래 쌓여 있습니다,완료,2026-07-18,11,환경관리과,010-8526-8556,19750208-2******
M0121,2026-06-23,국민신문고,마루동,세종특별자치시 한빛구 마루동 17로 26,37.550124,127.034728,마루경로당 앞,Y,여기 좀 봐주세요,완료,2026-06-29,365,주민생활지원과,010-3961-8632,19550203-2******
M0028,2026.08.06,앱,가온동,한빛구 가온동 412-6,37.550611,127.047473,가온로 12길 일대,Y,배출 요일이 아닌데 미리 내놓아 길이 지저분합니다,완료,2026.08.09,3,환경관리과,010-5030-7625,19840604-1******
M0144,260708,방문,바다동,세종특별자치시 한빛구 바다동 22로 75,37.567565,127.067767,,N,분리수거함이 넘쳐서 주변에 페트병이 흩어져 있습니다,완료,260718,10,청소행정과,010-9278-6150,19800605-1******
M0123,2026-06-18,앱,바다동,세종특별자치시 한빛구 바다동 7로 48,37.558137,127.059798,,N,가정용 종량제 봉투가 아닌 일반 비닐에 담아 버려져 있습니다,완료,2026-06-23,5,환경관리과,010-4903-6430,19580526-2******
M0101,2026/06/26,방문,마루동,세종특별자치시 한빛구 마루동 31로 73,37.5499,127.03543,마루경로당 앞,Y,공사장에서 나온 폐자재가 인도에 방치돼 있습니다,보류,,,환경관리과,010-9654-9462,19660228-1******
M0113,2026.07.26,홈페이지,마루동,마루동 마루동 일원,37.554368,127.035551,,N,장롱과 매트리스가 버려져 있는데 대형폐기물 스티커가 없습니다,처리중,,,청소행정과,010-8989-7557,19800122-2******
M0063,2026-07-03,앱,,한빛구 다솜동 559-52,37.545436,127.059717,다솜로 3길 원룸촌,Y,가정용 종량제 봉투가 아닌 일반 비닐에 담아 버려져 있습니다,완료,2026-04-02,8,환경관리과,010-5488-6300,19650903-1******
