민원ID,접수일,처리일,처리상태,행정동,주소,위도,경도,민원내용,접수채널,담당부서,처리결과,신고자연락처,신고자생년,반복신고여부,비고
D1156,26.01.27,26.01.31,완료,숲길동,새올구 숲길동 숲길로 3길 17,37.559714,126.927488,종량제 봉투가 아닌 일반 비닐봉지에 음식물까지 섞어서 버려 놨습니다,전화,환경위생과,계도 조치,010-7872-2165,810503,N,
D1070,2026-02-17,2026-02-21,완료,햇살동,새올구 햇살동 햇살로 9길 73,37.575088,126.953004,박스와 스티로폼이 분리되지 않은 채 쌓여 있습니다,국민신문고,환경위생과,과태료 부과,010-3344-8432,930902,N,
D1020,2026-04-13,2026-04-16,완료,물결동,새올구 물결동 647-11번지,37.547924,126.961589,박스와 스티로폼이 분리되지 않은 채 쌓여 있습니다,모바일앱,환경위생과,수거 후 안내문 부착,010-1633-1834,020520,N,
D1153,2025-09-13,2025-09-19,완료,햇살동,새올구 햇살동 858-22번지,37.545776,126.94865,카페 영업 쓰레기를 종량제 없이 주택가에 버리고 갑니다,모바일앱,환경위생과,과태료 부과,010-3717-1732,610925,N,
D1030,2025년 9월 30일,2025년 10월 2일,완료,들녘동,새올구 들녘동 573-33번지,37.553601,126.923712,수거함 옆에 종량제 봉투가 열 개 넘게 쌓여 있습니다,모바일앱,환경위생과,수거 완료,010-9931-8843,730502,N,
D1172,25.09.25,25.10.01,완료,별빛동,별빛동 재래시장 뒤 골목,37.554351,126.913611,페트병에 내용물이 남은 채로 다른 재활용품과 섞여 있습니다,모바일앱,환경위생과,수거 완료,010-9261-4349,840620,Y,
D1191,2026-01-26,2026-02-01,완료,들녘동,새올구 들녘동 들녘로 6길 18,37.542419,126.923425,재활용과 음식물이 한 봉지에 들어 있어 수거가 안 된 채 방치돼 있습니다,전화,환경위생과,수거 완료,010-2696-3084,780412,N,
D1125,26.03.08,26.03.11,완료,바람동,새올구 바람동 442-26번지,37.519943,126.946661,냄새가 너무 심합니다,방문,환경위생과,과태료 부과,010-6809-1069,021215,N,
D1008,25.10.16,25.10.20,완료,숲길동,숲길동 아파트 후문 수거함,37.570512,126.925624,빨리 좀 치워 주세요,국민신문고,환경위생과,수거 후 안내문 부착,010-5107-1348,790620,Y,
D1137,2026-07-01,2026-07-04,완료,별빛동,별빛동 원룸촌 클린하우스,37.543452,126.926372,지난번에 말한 곳입니다,모바일앱,환경위생과,계도 조치,010-9846-4372,011212,Y,
D1089,2025-12-02,2025-12-13,완료,별빛동,새올구 별빛동 별빛로 16길 19,37.540759,126.907292,또 그 자리입니다,국민신문고,환경위생과,수거 후 안내문 부착,010-1123-1417,950301,N,
D1134,2025/09/10,2025/09/15,완료,노을동,새올구 노을동 노을로 23길 88,,,상가에서 나온 폐식용유 통과 박스가 매일 같은 자리에 쌓입니다,전화,환경위생과,현장 정비,010-5245-4012,831004,N,좌표 미확인
D1080,2026/03/20,2026/03/24,완료,노을동,노을동 빌라 단지 진입로,37.554458,126.899948,유리병과 캔이 종이류와 함께 묶여 있어 수거가 안 됩니다,국민신문고,환경위생과,계도 조치,010-7370-9428,561228,Y,
D1057,2026-02-25,2026-03-03,완료,노을동,새올구 노을동 노을로 24길 72,37.555324,126.893565,박스와 스티로폼이 분리되지 않은 채 쌓여 있습니다,전화,환경위생과,과태료 부과,010-4110-7812,000128,N,
D1014,2025-11-06,,처리중,바람동,새올구 바람동 바람로 24길 5,37.524098,126.91411,인근 식당에서 나온 영업 쓰레기를 주택가 수거함 옆에 내놓습니다,모바일앱,환경위생과,,010-5313-3792,710517,N,
D1096,2026-05-24,,처리중,물결동,새올구 물결동 물결로 6길 34,37.551848,126.933787,냉장고 한 대가 일주일째 그대로 서 있습니다,모바일앱,자원순환과,,010-1724-9232,780507,N,
D1106,2025-09-08,2025-09-09,완료,숲길동,새올구 숲길동 숲길로 7길 21,37.566772,126.904485,새벽 두 시쯤 차를 세우고 쓰레기만 버리고 갑니다,구청 홈페이지,환경위생과,수거 후 안내문 부착,010-5133-9987,000423,N,
D1149,2025-10-31,,처리중,바람동,새올구 바람동 564-24번지,37.516742,126.928229,인근 식당에서 나온 영업 쓰레기를 주택가 수거함 옆에 내놓습니다,전화,환경위생과,,010-2512-4084,860127,N,
D1071,2026-04-11,2026-04-14,완료,숲길동,새올구 숲길동 숲길로 6길 55,,,소파와 매트리스를 배출 스티커 없이 길가에 내놨습니다,전화,자원순환과,수거 완료,010-1954-4987,000908,N,좌표 미확인
D1015,2025년 12월 29일,2026년 1월 2일,완료,숲길동,새올구 숲길동 518-22번지,37.57063,126.925202,인근 식당에서 나온 영업 쓰레기를 주택가 수거함 옆에 내놓습니다,모바일앱,환경위생과,계도 조치,010-7756-8382,760803,Y,
D1173,2026-07-29,2026-08-12,완료,노을동,새올구 노을동 722-9번지,37.545751,126.910922,냉장고 한 대가 일주일째 그대로 서 있습니다,방문,자원순환과,현장 정비,010-4814-3289,970128,N,
D1115,2026/03/28,,처리중,숲길동,숲길동 초등학교 담장길,37.560258,126.915218,재활용과 음식물이 한 봉지에 들어 있어 수거가 안 된 채 방치돼 있습니다,전화,환경위생과,,010-1035-9513,740412,Y,
D1003,2025-09-13,2025-09-17,완료,별빛동,새올구 별빛동 592-38번지,37.540422,126.917426,종량제 봉투가 아닌 일반 비닐봉지에 음식물까지 섞어서 버려 놨습니다,구청 홈페이지,환경위생과,과태료 부과,010-9967-5499,840103,Y,
D1082,2026-02-20,2026-02-23,완료,,새올구 노을동 노을로 9길 49,37.544798,126.907322,장롱과 책상이 스티커 없이 버려져 통행에 방해가 됩니다,전화,자원순환과,계도 조치,010-5066-5901,831111,N,
D1124,2025-11-19,,처리중,노을동,새올구 노을동 704-39번지,,,냄새가 너무 심합니다,방문,환경위생과,,010-7928-3446,741116,N,좌표 미확인
D1131,2025/11/22,2025/11/23,완료,들녘동,새올구 들녘동 들녘로 13길 85,37.539263,126.950919,빨리 좀 치워 주세요,국민신문고,환경위생과,수거 후 안내문 부착,010-6894-2883,020210,N,
D1072,2025-10-17,2025-10-31,완료,숲길동,새올구 숲길동 숲길로 1길 22,37.574441,126.913529,재활용과 음식물이 한 봉지에 들어 있어 수거가 안 된 채 방치돼 있습니다,모바일앱,환경위생과,과태료 부과,010-9339-4920,970627,N,
D1139,2025-10-05,2025-10-14,완료,노을동,노을동 대학가 원룸 밀집지,37.557794,126.91375,분리수거함이 넘쳐서 주변 바닥까지 쌓였습니다,구청 홈페이지,환경위생과,계도 조치,010-6454-2657,870614,N,
D9001,2026-01-11,,접수,들녘동,새올구 들녘동 826-23번지,37.553075,126.94239,새벽 두 시쯤 차를 세우고 쓰레기만 버리고 갑니다,구청 홈페이지,환경위생과,,010-9948-1530,600411,N,
D1140,2025년 10월 30일,2025년 11월 3일,완료,별빛동,별빛동 재래시장 뒤 골목,37.554191,126.913984,분리수거함이 넘쳐서 주변 바닥까지 쌓였습니다,전화,환경위생과,과태료 부과,010-3655-1070,780210,Y,
D1157,2026-03-23,2026-03-30,완료,물결동,새올구 물결동 물결로 11길 3,37.533612,126.952388,새벽 두 시쯤 차를 세우고 쓰레기만 버리고 갑니다,모바일앱,환경위생과,과태료 부과,010-6121-3679,910117,Y,
D1073,2026-06-08,2026-06-17,완료,별빛동,새올구 별빛동 별빛로 21길 26,37.540595,126.939383,카페 영업 쓰레기를 종량제 없이 주택가에 버리고 갑니다,전화,환경위생과,수거 완료,010-6108-6988,660827,Y,
D1074,2026/03/12,2026/03/21,완료,바람동,바람동 공영주차장 경계,37.527795,126.935427,확인 바랍니다,구청 홈페이지,환경위생과,수거 후 안내문 부착,010-4756-3218,641013,N,
D1184,2026년 5월 18일,2026년 5월 22일,완료,물결동,새올구 물결동 물결로 6길 37,37.555533,126.947187,분리수거함이 넘쳐서 주변 바닥까지 쌓였습니다,국민신문고,환경위생과,현장 정비,010-5918-5054,930615,N,
D1059,25.10.30,25.11.05,완료,들녘동,들녘동 먹자골목 뒤편,37.543806,126.935762,소파와 매트리스를 배출 스티커 없이 길가에 내놨습니다,구청 홈페이지,자원순환과,과태료 부과,010-9875-1533,660626,N,
D1166,2026년 3월 9일,2026년 3월 15일,완료,들녘동,새올구 들녘동 482-23번지,37.52471,126.960229,소파와 매트리스를 배출 스티커 없이 길가에 내놨습니다,구청 홈페이지,자원순환과,과태료 부과,010-5533-4217,980114,N,
D1164,26.07.14,26.07.21,완료,숲길동,숲길동 아파트 후문 수거함,37.570745,126.925217,인근 식당에서 나온 영업 쓰레기를 주택가 수거함 옆에 내놓습니다,구청 홈페이지,환경위생과,과태료 부과,010-9234-7062,740722,N,
D1043,2026-05-07,2026-05-10,완료,바람동,새올구 바람동 바람로 2길 2,37.527491,126.946492,카페 영업 쓰레기를 종량제 없이 주택가에 버리고 갑니다,전화,환경위생과,수거 후 안내문 부착,010-1964-4345,760823,N,
D1180,2026-01-17,,처리중,햇살동,새올구 햇살동 548-6번지,37.571547,126.935223,밤마다 같은 자리에 봉투가 쌓이는데 낮에는 아무도 없습니다,구청 홈페이지,환경위생과,,010-9142-9134,910915,Y,
D1190,2025/12/05,2025/12/10,완료,별빛동,별빛동 재래시장 뒤 골목,37.554453,126.913903,수거함 문이 닫히지 않을 만큼 차 있는데 며칠째 수거가 안 됩니다,구청 홈페이지,환경위생과,계도 조치,010-2791-6908,041023,Y,
D1076,2026-08-31,2026-08-31,완료,노을동,노을동 빌라 단지 진입로,37.554107,126.899699,소파와 매트리스를 배출 스티커 없이 길가에 내놨습니다,구청 홈페이지,자원순환과,수거 완료,010-6084-4502,810114,Y,
